set_id,series_name,db_code,db_name,scrydex_id,scrydex_url,candidate_ids,status
67f367c1-a48d-4f82-8b03-0cea6da851bb,SMシリーズ,SM11a,リミックスバウト,sm11a_ja,https://scrydex.com/pokemon/expansions/remix-bout/sm11a_ja,sm11a_ja,MAPPED
bf3433b6-5f29-4156-a1b7-c67eb119b52f,SMシリーズ,SM11b,ドリームリーグ,sm11b_ja,https://scrydex.com/pokemon/expansions/dream-league/sm11b_ja,sm11b_ja,MAPPED
4a261245-088f-4357-a2ff-6c7890e11543,SMシリーズ,SM12,オルタージェネシス,sm12_ja,https://scrydex.com/pokemon/expansions/alter-genesis/sm12_ja,sm12_ja,MAPPED
30503cd2-8ced-45f5-9b2f-acd3ee55c09a,SMシリーズ,SM12a,TAG TEAM GX タッグオールスターズ,sm12a_ja,https://scrydex.com/pokemon/expansions/tag-team-gx-tag-all-stars/sm12a_ja,sm12a_ja,MAPPED
af81f07b-2345-4f9e-baf5-adfa2bcdb807,SMシリーズ,SM1M,コレクションムーン,sm1m_ja,https://scrydex.com/pokemon/expansions/collection-moon/sm1m_ja,sm1m_ja,MAPPED
575b3ae4-5c0c-4abc-93f8-f1f4cc71974a,SMシリーズ,SM1p,サン＆ムーン,sm1p_ja,https://scrydex.com/pokemon/expansions/strength-expansion-pack-sun-moon/sm1p_ja,sm1p_ja,MAPPED
c9f7833f-defe-4d99-b45a-33fcb5a1fb14,SMシリーズ,SM1S,コレクションサン,sm1s_ja,https://scrydex.com/pokemon/expansions/collection-sun/sm1s_ja,sm1s_ja,MAPPED
234779b1-7c9a-442f-8f8e-de41d5de658c,SMシリーズ,SM2K,キミを待つ島々,sm2k_ja,https://scrydex.com/pokemon/expansions/islands-await-you/sm2k_ja,sm2k_ja,MAPPED
a46aa9cd-922a-487f-a7f2-940f9a23ef57,SMシリーズ,SM2L,アローラの月光,sm2l_ja,https://scrydex.com/pokemon/expansions/alolan-moonlight/sm2l_ja,sm2l_ja,MAPPED
25678826-2811-4bff-9b3a-26e10c5db48c,SMシリーズ,SM2p,新たなる試練の向こう,sm2p_ja,https://scrydex.com/pokemon/expansions/facing-a-new-trial/sm2p_ja,sm2p_ja,MAPPED
a8568729-9fae-4f33-bea1-c887bbc3f41a,SMシリーズ,SM3H,闘う虹を見たか,sm3h_ja,https://scrydex.com/pokemon/expansions/to-have-seen-the-battle-rainbow/sm3h_ja,sm3h_ja,MAPPED
ea641579-b748-4519-80bf-909f23f821ca,SMシリーズ,SM3N,光を喰らう闇,sm3n_ja,https://scrydex.com/pokemon/expansions/darkness-that-consumes-light/sm3n_ja,sm3n_ja,MAPPED
cc2feeb0-7efb-4265-9655-142f55afe232,SMシリーズ,SM3p,ひかる伝説,sm3p_ja,https://scrydex.com/pokemon/expansions/shining-legends/sm3p_ja,sm3p_ja,MAPPED
9f635209-aec1-4acf-84b7-8e77e6be7bc0,SMシリーズ,SM4A,超次元の暴獣,sm4a_ja,https://scrydex.com/pokemon/expansions/ultradimensional-beasts/sm4a_ja,sm4a_ja,MAPPED
02774e64-31dd-4b6c-a9b3-65c24144066e,SMシリーズ,SM4p,GXバトルブースト,sm4p_ja,https://scrydex.com/pokemon/expansions/gx-battle-boost/sm4p_ja,sm4p_ja,MAPPED
133c791b-7cad-484f-843a-1fdb007af685,SMシリーズ,SM4S,覚醒の勇者,sm4s_ja,https://scrydex.com/pokemon/expansions/awakened-heroes/sm4s_ja,sm4s_ja,MAPPED
4faa5ea4-2af5-4aea-8154-3d8eac93ff68,SMシリーズ,SM5M,ウルトラムーン,sm5m_ja,https://scrydex.com/pokemon/expansions/ultra-moon/sm5m_ja,sm5m_ja,MAPPED
7b4aebdd-ad4e-4fd2-a4a1-50ed98bc4e51,SMシリーズ,SM5p,ウルトラフォース,sm5p_ja,https://scrydex.com/pokemon/expansions/ultra-force/sm5p_ja,sm5p_ja,MAPPED
85624ae1-7bf6-4f09-a3c7-d3af5f65893a,SMシリーズ,SM5S,ウルトラサン,sm5s_ja,https://scrydex.com/pokemon/expansions/ultra-sun/sm5s_ja,sm5s_ja,MAPPED
adc82cca-bad7-4c21-88f1-14482564992e,SMシリーズ,SM6,禁断の光,sm6_ja,https://scrydex.com/pokemon/expansions/forbidden-light/sm6_ja,sm6_ja,MAPPED
80f62c95-9f01-4569-b25d-11f781e01a82,SMシリーズ,SM6a,ドラゴンストーム,sm6a_ja,https://scrydex.com/pokemon/expansions/dragon-storm/sm6a_ja,sm6a_ja,MAPPED
1778f144-2fa0-4cf0-b7ed-b8a42a4f4526,SMシリーズ,SM6b,チャンピオンロード,sm6b_ja,https://scrydex.com/pokemon/expansions/champion-road/sm6b_ja,sm6b_ja,MAPPED
c747cf6e-7ba4-4ec5-8288-d40293a4565f,SVシリーズ,SV10,ロケット団の栄光,sv10_ja,https://scrydex.com/pokemon/expansions/glory-of-team-rocket/sv10_ja,sv10_ja,MAPPED
1b0c8034-f89e-45bd-9339-da3e9963ce3f,SVシリーズ,SV11B,ブラックボルト,sv11b_ja,https://scrydex.com/pokemon/expansions/black-bolt/sv11b_ja,sv11b_ja,MAPPED
02eba1f1-ab17-434f-b54f-3213cbb54ca3,SVシリーズ,SV11W,ホワイトフレア,sv11w_ja,https://scrydex.com/pokemon/expansions/white-flare/sv11w_ja,sv11w_ja,MAPPED
af1234fc-0c84-4c51-ba4c-cc74829e2d03,SVシリーズ,SV1a,トリプレットビート,sv1a_ja,https://scrydex.com/pokemon/expansions/triplet-beat/sv1a_ja,sv1a_ja,MAPPED
02909cf1-28d7-484f-bede-01b7da714ab6,SMシリーズ,SM7,裂空のカリスマ,sm7_ja,https://scrydex.com/pokemon/expansions/sky-splitting-charisma/sm7_ja,sm7_ja,MAPPED
8251be2f-446e-47c1-ae16-155441fda939,SMシリーズ,SM7a,迅雷スパーク,sm7a_ja,https://scrydex.com/pokemon/expansions/thunderclap-spark/sm7a_ja,sm7a_ja,MAPPED
dbb0d0e7-efba-41c2-9f8a-daf68582ed52,SMシリーズ,SM7b,フェアリーライズ,sm7b_ja,https://scrydex.com/pokemon/expansions/fairy-rise/sm7b_ja,sm7b_ja,MAPPED
ac71e58e-df22-4e89-89a6-7e939bd6632a,SMシリーズ,SM8,超爆インパクト,sm8_ja,https://scrydex.com/pokemon/expansions/super-burst-impact/sm8_ja,sm8_ja,MAPPED
424e31c9-b164-41cc-bc8b-67667edfab53,SMシリーズ,SM8a,ダークオーダー,sm8a_ja,https://scrydex.com/pokemon/expansions/dark-order/sm8a_ja,sm8a_ja,MAPPED
