set_code,set_name,number,db_card_number,db_name,db_rarity,db_image_url,found_in_scrydex
SV4a,シャイニートレジャーex,48,048,ミガルーサ,,https://images.scrydex.com/pokemon/sv4a_ja-48/medium,YES
SV4a,シャイニートレジャーex,49,049,ヘイラッシャ,,https://images.scrydex.com/pokemon/sv4a_ja-49/medium,YES
SV4a,シャイニートレジャーex,50,050,シャリタツ,,https://images.scrydex.com/pokemon/sv4a_ja-50/medium,YES
SV4a,シャイニートレジャーex,51,051,セビエ,,https://images.scrydex.com/pokemon/sv4a_ja-51/medium,YES
SV4a,シャイニートレジャーex,52,052,セゴール,,https://images.scrydex.com/pokemon/sv4a_ja-52/medium,YES
SV4a,シャイニートレジャーex,53,053,セグレイブ,,https://images.scrydex.com/pokemon/sv4a_ja-53/medium,YES
SV4a,シャイニートレジャーex,54,054,パオジアンex,RR,https://images.scrydex.com/pokemon/sv4a_ja-54/medium,YES
SV4a,シャイニートレジャーex,55,055,ピカチュウ,,https://images.scrydex.com/pokemon/sv4a_ja-55/medium,YES
SV4a,シャイニートレジャーex,56,056,ライチュウ,,https://images.scrydex.com/pokemon/sv4a_ja-56/medium,YES
SV4a,シャイニートレジャーex,57,057,ビリリダマ,,https://images.scrydex.com/pokemon/sv4a_ja-57/medium,YES
SV4a,シャイニートレジャーex,58,058,マルマイン,,https://images.scrydex.com/pokemon/sv4a_ja-58/medium,YES
SV4a,シャイニートレジャーex,59,059,コリンク,,https://images.scrydex.com/pokemon/sv4a_ja-59/medium,YES
SV4a,シャイニートレジャーex,60,060,ルクシオ,,https://images.scrydex.com/pokemon/sv4a_ja-60/medium,YES
SV4a,シャイニートレジャーex,61,061,レントラー,,https://images.scrydex.com/pokemon/sv4a_ja-61/medium,YES
SV4a,シャイニートレジャーex,62,062,パチリス,,https://images.scrydex.com/pokemon/sv4a_ja-62/medium,YES
SV4a,シャイニートレジャーex,63,063,ボルトロス,,https://images.scrydex.com/pokemon/sv4a_ja-63/medium,YES
SV4a,シャイニートレジャーex,64,064,エレズン,,https://images.scrydex.com/pokemon/sv4a_ja-64/medium,YES
SV4a,シャイニートレジャーex,65,065,ストリンダー,,https://images.scrydex.com/pokemon/sv4a_ja-65/medium,YES
SV4a,シャイニートレジャーex,66,066,パモ,,https://images.scrydex.com/pokemon/sv4a_ja-66/medium,YES
SV4a,シャイニートレジャーex,67,067,パモット,,https://images.scrydex.com/pokemon/sv4a_ja-67/medium,YES
SV4a,シャイニートレジャーex,68,068,パーモット,,https://images.scrydex.com/pokemon/sv4a_ja-68/medium,YES
SV4a,シャイニートレジャーex,69,069,カイデン,,https://images.scrydex.com/pokemon/sv4a_ja-69/medium,YES
SV4a,シャイニートレジャーex,70,070,タイカイデン,,https://images.scrydex.com/pokemon/sv4a_ja-70/medium,YES
SV4a,シャイニートレジャーex,71,071,ミライドンex,RR,https://images.scrydex.com/pokemon/sv4a_ja-71/medium,YES
SV4a,シャイニートレジャーex,72,072,プクリン,,https://images.scrydex.com/pokemon/sv4a_ja-72/medium,YES
SV4a,シャイニートレジャーex,73,073,ケーシィ,,https://images.scrydex.com/pokemon/sv4a_ja-73/medium,YES
SV4a,シャイニートレジャーex,74,074,ユンゲラー,,https://images.scrydex.com/pokemon/sv4a_ja-74/medium,YES
SV4a,シャイニートレジャーex,75,075,フーディンex,RR,https://images.scrydex.com/pokemon/sv4a_ja-75/medium,YES
SV4a,シャイニートレジャーex,76,076,ミュウex,RR,https://images.scrydex.com/pokemon/sv4a_ja-76/medium,YES
SV4a,シャイニートレジャーex,77,077,ピィ,,https://images.scrydex.com/pokemon/sv4a_ja-77/medium,YES
SV4a,シャイニートレジャーex,78,078,ネイティ,,https://images.scrydex.com/pokemon/sv4a_ja-78/medium,YES
SV4a,シャイニートレジャーex,79,079,ネイティオ,,https://images.scrydex.com/pokemon/sv4a_ja-79/medium,YES
SV4a,シャイニートレジャーex,80,080,ラルトス,,https://images.scrydex.com/pokemon/sv4a_ja-80/medium,YES
SV4a,シャイニートレジャーex,81,081,キルリア,,https://images.scrydex.com/pokemon/sv4a_ja-81/medium,YES
SV4a,シャイニートレジャーex,82,082,サーナイトex,RR,https://images.scrydex.com/pokemon/sv4a_ja-82/medium,YES
SV4a,シャイニートレジャーex,83,083,フワンテ,,https://images.scrydex.com/pokemon/sv4a_ja-83/medium,YES
SV4a,シャイニートレジャーex,84,084,フワライド,,https://images.scrydex.com/pokemon/sv4a_ja-84/medium,YES
SV4a,シャイニートレジャーex,85,085,マネネ,,https://images.scrydex.com/pokemon/sv4a_ja-85/medium,YES
SV4a,シャイニートレジャーex,86,086,ミカルゲ,,https://images.scrydex.com/pokemon/sv4a_ja-86/medium,YES
SV4a,シャイニートレジャーex,87,087,クレッフィ,,https://images.scrydex.com/pokemon/sv4a_ja-87/medium,YES
SV4a,シャイニートレジャーex,88,088,ミミッキュ,,https://images.scrydex.com/pokemon/sv4a_ja-88/medium,YES
SV4a,シャイニートレジャーex,89,089,パピモッチ,,https://images.scrydex.com/pokemon/sv4a_ja-89/medium,YES
SV4a,シャイニートレジャーex,90,090,バウッツェル,,https://images.scrydex.com/pokemon/sv4a_ja-90/medium,YES
SV4a,シャイニートレジャーex,91,091,ソウブレイズ,,https://images.scrydex.com/pokemon/sv4a_ja-91/medium,YES
SV4a,シャイニートレジャーex,92,092,ベラカス,,https://images.scrydex.com/pokemon/sv4a_ja-92/medium,YES
SV4a,シャイニートレジャーex,93,093,ヒラヒナ,,https://images.scrydex.com/pokemon/sv4a_ja-93/medium,YES
SV4a,シャイニートレジャーex,94,094,カヌチャン,,https://images.scrydex.com/pokemon/sv4a_ja-94/medium,YES
SV4a,シャイニートレジャーex,95,095,ナカヌチャン,,https://images.scrydex.com/pokemon/sv4a_ja-95/medium,YES
SV4a,シャイニートレジャーex,96,096,デカヌチャン,,https://images.scrydex.com/pokemon/sv4a_ja-96/medium,YES
SV4a,シャイニートレジャーex,97,097,ボチ,,https://images.scrydex.com/pokemon/sv4a_ja-97/medium,YES
