id,name,code,release_date,created_at,tcgdex_series_id,series_name,image_url
87fe2833-504e-4df5-aae8-e697d7a3d91b,拡張パック さいはての攻防,PCG9,2006-06-29,2026-08-28 04:31:03.538936+00:00,PCG,ADV・PCGシリーズ,https://archives.bulbagarden.net/wiki/Special:Redirect/file/PCG9%20Offense%20Defense%20Furthest%20Ends%20pack.jpg
ccb5303d-2ad6-46bb-a85d-e1a1f9993171,ADV-P プロモーションカード,ADVP,,2026-08-29 06:28:10.864522+00:00,ADV,ADV・PCGシリーズ,
c2ae6d9b-49ea-4dc5-b574-b06ae7174c2e,S-P,S-P,,2026-08-28 04:31:05.311368+00:00,S,プロモ,
ac4bd1e4-8677-41ee-987f-f668501718a1,PCG-P プロモーションカード,PCGP,,2026-08-29 06:28:22.150633+00:00,PCG,ADV・PCGシリーズ,
87789899-88a8-4a22-81d5-44cb932626af,ワイルドフォース,SV5K,2024-01-26,2026-08-28 04:31:25.820732+00:00,SV,SVシリーズ,
c89cc58d-42ed-4213-9651-cb9ba0b4b513,ポケモンカードゲームXY BREAK パーフェクトバトルデッキ60「ジガルデEX」,XYG,,2026-08-28 06:28:08.608611+00:00,,XYシリーズ,
1f7858f8-42a8-489a-b714-940aa2ff3411,プロモーションカードパック（2016/11）,XYP,,2026-08-28 06:28:08.768768+00:00,,プロモ,
0dbeeeb1-7c7d-4568-a13e-5d7b7014996c,ポケモンカードゲーム サン＆ムーン 30枚デッキ対戦セット「サトシVSロケット団」,SMD,,2026-08-28 06:28:03.149549+00:00,,SMシリーズ,
41235d5a-7736-459d-975c-99796cbc344f,ポケモンカードゲーム サン&ムーン  プレミアムトレーナーボックス ウルトラサン・ウルトラムーン,SMF,,2026-08-28 06:28:03.310571+00:00,,SMシリーズ,
0556ed71-9979-4e4e-9dd4-b7e804d178be,プレミアムトレーナーボックス VSTAR,SK,,2026-08-28 04:31:09.836896+00:00,S,ソード・シールド,
37d12ef0-6a6c-4af8-a2a2-e12155105598,プレミアムトレーナーボックス TAG TEAM GX,SMJ,,2026-08-28 06:28:03.652267+00:00,,SMシリーズ,
1e73b75d-2759-41ee-b2da-2fc72d3f2e66,「ファミリーポケモンカードゲーム」,SML,,2026-08-28 06:28:03.815328+00:00,,SMシリーズ,
d517f358-1f62-44aa-aeb2-ade2a7cea604,デッキビルドBOX「TAG TEAM GX」,SMN,,2026-08-28 06:28:03.971225+00:00,,SMシリーズ,
c57c55fa-900b-4f7f-8556-1e9f76af659f,月刊コロコロコミック　2017年1月号付録「イワンコ全力デッキ」,SMP1,,2026-08-28 06:28:04.124940+00:00,,SMシリーズ,
60cfcd99-9818-4d22-9aee-ad11d01e1521,ポケモンカードゲームXY BREAK 進化パック「オンバーンBREAK」,SNPo,,2026-08-28 06:28:04.282270+00:00,,ソード・シールド,
1f1159d9-179c-4492-ba61-8766edef7086,スペシャルデッキセット リザードンVSTAR vs レックウザVMAX,SO,,2026-08-28 06:28:04.445835+00:00,,ソード・シールド,
79d7b6eb-40f1-4ceb-bc9d-3c6a95d28549,ジャンボパックセット 白銀のランス＆漆黒のガイスト,SP3,,2026-08-28 06:28:04.602701+00:00,,ソード・シールド,
e97372c9-3f91-4a4d-825a-7a05c5e8551e,スターターセットex ホゲータ＆デンリュウex,SVAL,,2026-08-28 06:28:04.754695+00:00,,SVシリーズ,
10672e42-ee26-494b-806f-6ed997960b66,スターターセットex クワッス＆ミミッキュex,SVAW,,2026-08-28 06:28:04.910204+00:00,,SVシリーズ,
bcac3e9a-64ca-4230-831d-76dc59ae9c89,スターターセットex ピカチュウex&パーモット,SVC,,2026-08-28 06:28:05.064852+00:00,,SVシリーズ,
a113ccfa-1c92-450e-9492-fa23e0114247,スターターセット テラスタル「ミュウツーex」「ラウドボーンex」,SVEL,,2026-08-28 06:28:05.222578+00:00,,SVシリーズ,
2fe01ffc-66f9-494b-968c-8c5547e265c0,デッキビルドBOX 黒炎の支配者,SVF,,2026-08-28 06:28:05.376647+00:00,,SVシリーズ,
15e2acb1-274a-4bd5-9675-91614d9a063b,スターターデッキ＆ビルドセット「古代のコライドンex」,SVHK,,2026-08-28 06:28:05.531380+00:00,,SVシリーズ,
54ed94c5-7583-4652-9d8d-e07e6a609e43,バトルアカデミー,SVI,,2026-08-28 06:28:05.683116+00:00,,SVシリーズ,
8ffd7472-04dd-4240-ae1d-ccb91666b2c3,バトルマスターデッキパオジアンex,SVJP,,2026-08-28 06:28:05.836575+00:00,,SVシリーズ,
